Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Isolate	Organism Infraspecific Names Strain	Assembly Release Date	Assembly BioSample Accession	Assembly BioSample Isolate	Assembly BioSample Strain	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Latitude and Longitude	Assembly BioSample Collection date	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Ecotype	Assembly Atypical Is Atypical	Assembly Atypical Warnings	Assembly Type
GCA_964383895.1	uncultured Candidatus Bathyarchaeia archaeon	3037984	binchicken_co395_85		2025-01-06	SAMEA117370159			sediment metagenome	Mexico		2016-09-15						haploid
GCA_964384015.1	uncultured Nitrososphaeria archaeon	2995109	binchicken_co184_20		2025-01-06	SAMEA117364120			hydrothermal vent metagenome	Mexico		not provided						haploid
GCA_964384045.1	uncultured Methanosarcinales archaeon	183757	binchicken_co28_248		2025-01-05	SAMEA117374288			seawater metagenome	Canada		not provided						haploid
GCA_964384165.1	uncultured Methanosarcinales archaeon	183757	SRP141376_co5_31		2025-01-07	SAMEA117288874			microbial mat metagenome	Chile		2012-03						haploid
GCA_964384425.1	uncultured Methanosarcinales archaeon	183757	SRP332253_co1_166		2025-01-06	SAMEA117382096			metagenome	Spain		2013-09-03				true	contaminated	haploid
GCA_964384535.1	uncultured Nitrosopumilales archaeon	171534	SRP092796_co6_63		2025-01-05	SAMEA117322792			marine plankton metagenome	Pacific Ocean		not provided						haploid
GCA_964385055.1	uncultured Methanosarcinales archaeon	183757	binchicken_co125_1075		2025-01-07	SAMEA117392709			groundwater metagenome	USA		not provided						haploid
GCA_964385185.1	uncultured Methanosarcinales archaeon	183757	binchicken_co48_37		2025-01-06	SAMEA117322779			seawater metagenome	Pacific Ocean		not provided						haploid
GCA_964385745.1	uncultured Methanosarcinales archaeon	183757	binchicken_co164_184		2025-01-05	SAMEA117363502			hydrothermal vent metagenome	not applicable		not provided						haploid
GCA_964385815.1	uncultured Nitrososphaerota archaeon	651141	binchicken_co184_430		2025-01-06	SAMEA117391587			hydrothermal vent metagenome	Mexico		not provided						haploid
GCA_964386095.1	uncultured Methanosarcinales archaeon	183757	binchicken_co256_922		2025-01-05	SAMEA117374124			hydrothermal vent metagenome	Mexico		not provided						haploid
GCA_964386515.1	uncultured Methanosarcinales archaeon	183757	binchicken_co248_79		2025-01-07	SAMEA117365580			groundwater metagenome	not provided		2019-01-07						haploid
GCA_964386585.1	uncultured Thermofilum sp.	310083	SRP104967_co1_34		2025-01-07	SAMEA117390923			hot springs metagenome	USA		2014-04-06						haploid
GCA_964386655.1	uncultured Candidatus Bathyarchaeia archaeon	3037984	binchicken_co383_10		2025-01-07	SAMEA117369926			freshwater sediment metagenome	Indonesia		2015-05						haploid
GCA_964386835.1	uncultured Methanospirillum sp.	262503	SRP192927_co4_992		2025-01-08	SAMEA117290962			bioreactor metagenome	China		not provided						haploid
GCA_964387435.1	uncultured Methanosarcinales archaeon	183757	binchicken_co234_3		2025-01-06	SAMEA117392070			freshwater sediment metagenome	USA		not provided						haploid
GCA_964388015.1	uncultured Desulfurococcales archaeon	307553	SRP144503_co3_40		2025-01-05	SAMEA117289079			hydrothermal vent metagenome	Pacific Ocean		not provided						haploid
GCA_964388255.1	uncultured Nitrosopumilaceae archaeon	1118069	ERP125453_co2_154		2025-01-05	SAMEA117373937			metagenome	not provided		not provided						haploid
GCA_964388715.1	uncultured Methanosarcinales archaeon	183757	SRP077602_co2_87		2025-01-06	SAMEA117375980			marine metagenome	Venezuela		2014-05						haploid
GCA_964388995.1	uncultured Nitrosopumilaceae archaeon	1118069	SRP253650_co2_26		2025-01-06	SAMEA117125314			marine metagenome	Atlantic Ocean		2017-09-03						haploid
GCA_964389445.1	uncultured Methanoregulaceae archaeon	1392423	SRP142039_co1_361		2025-01-09	SAMEA117288975			lake water metagenome	Canada		2016-09-20						haploid
GCA_964389555.1	uncultured Nitrososphaerota archaeon	651141	SRP141559_co2_5		2025-01-05	SAMEA117288959			hydrothermal vent metagenome	Mexico		2016-12-22						haploid
GCA_964389855.1	uncultured Methanosarcinales archaeon	183757	binchicken_co387_191		2025-01-04	SAMEA117384918			groundwater metagenome	USA		2014-08-20						haploid
GCA_964390155.1	uncultured Nitrosopumilales archaeon	171534	binchicken_co124_355		2025-01-06	SAMEA117392705			freshwater sediment metagenome	Indonesia		not provided						haploid
GCA_964390355.1	uncultured Thermoproteaceae archaeon	310081	SRP141552_co1_85		2025-01-07	SAMEA117374241			hydrothermal vent metagenome	Mexico		2016-12-24						haploid
GCA_964390375.1	uncultured Methanosarcinales archaeon	183757	SRP141376_co4_74		2025-01-08	SAMEA117288828			microbial mat metagenome	Chile		2012-03						haploid
GCA_964390685.1	uncultured Methanosarcinales archaeon	183757	SRP141376_co1_258		2025-01-06	SAMEA117288447			microbial mat metagenome	Chile		2012-03						haploid
GCA_964391275.1	uncultured Candidatus Bathyarchaeia archaeon	3037984	binchicken_co43_195		2025-01-09	SAMEA117372795			wastewater metagenome	China		2018-12-18						haploid
GCA_964391435.1	uncultured Methanotrichaceae archaeon	176232	SRP089250_co1_42		2025-01-08	SAMEA117385212			activated sludge metagenome	Japan		2015-05-17						haploid
GCA_964392465.1	uncultured Methanosarcinales archaeon	183757	SRP319275_co4_76		2025-01-06	SAMEA117297598			sediment metagenome	China		2018-07-28						haploid
GCA_964392515.1	uncultured Nitrososphaeria archaeon	2995109	SRP216583_co2_102		2025-01-07	SAMEA117292462			microbial mat metagenome	Atlantic Ocean		2012-10-19						haploid
GCA_964393295.1	uncultured Methanosarcinales archaeon	183757	SRP077602_co11_565		2025-01-05	SAMEA117375921			marine metagenome	Venezuela		not provided						haploid
GCA_964394015.1	uncultured Methanosarcinales archaeon	183757	SRP302447_co2_252		2025-01-12	SAMEA117287656			rock metagenome	USA		2018-01-31						haploid
GCA_964394455.1	uncultured Candidatus Bathyarchaeia archaeon	3037984	binchicken_co327_33		2025-01-07	SAMEA117384007			sediment metagenome	Mexico		2016-09-15						haploid
GCA_964394935.1	uncultured Candidatus Bathyarchaeia archaeon	3037984	SRP231805_co3_314		2025-01-07	SAMEA117124802			sediment metagenome	Indonesia		not provided						haploid
GCA_964395235.1	uncultured Desulfurococcaceae archaeon	310065	SRP141559_co1_204		2025-01-07	SAMEA117288937			hydrothermal vent metagenome	Mexico		2016-12-22						haploid
GCA_964395325.1	uncultured Candidatus Bathyarchaeia archaeon	3037984	SRP192927_co7_321		2025-01-08	SAMEA117291157			bioreactor metagenome	China		not provided				true	contaminated	haploid
GCA_964395385.1	uncultured Nitrososphaeria archaeon	2995109	SRP104967_co2_53		2025-01-06	SAMEA117385792			hot springs metagenome	China		not provided						haploid
GCA_964395545.1	uncultured Candidatus Bathyarchaeia archaeon	3037984	binchicken_co327_101		2025-01-07	SAMEA117383997			sediment metagenome	Mexico		2016-09-15						haploid
GCA_964395645.1	uncultured Candidatus Bathyarchaeia archaeon	3037984	SRP141552_co1_144		2025-01-06	SAMEA117392004			hydrothermal vent metagenome	Mexico		2016-12-24						haploid
GCA_964395775.1	uncultured Methanosarcinales archaeon	183757	SRP201947_co1_68		2025-01-06	SAMEA117373356			soda lake metagenome	China		2017-07						haploid
GCA_964395985.1	uncultured Desulfurococcaceae archaeon	310065	SRP104967_co2_54		2025-01-06	SAMEA117390429			hot springs metagenome	China		not provided						haploid
GCA_964396095.1	uncultured Methanosarcinales archaeon	183757	binchicken_co203_103		2025-01-06	SAMEA117364537			metagenome	not provided		not provided						haploid
GCA_964396445.1	uncultured Candidatus Bathyarchaeia archaeon	3037984	binchicken_co318_43		2025-01-08	SAMEA117390933			freshwater sediment metagenome	Indonesia		not provided						haploid
GCA_964396455.1	uncultured Nitrososphaeria archaeon	2995109	SRP141559_co1_273		2025-01-06	SAMEA117374150			hydrothermal vent metagenome	Mexico		2016-12-22						haploid
GCA_964396935.1	uncultured Methanosarcinales archaeon	183757	SRP342105_co1_174		2025-01-07	SAMEA117382424			wastewater metagenome	not provided		2020-07-20						haploid
GCA_964397315.1	uncultured Methanosarcinales archaeon	183757	SRP141376_co2_308		2025-01-07	SAMEA117288562			microbial mat metagenome	Chile		2012-03						haploid
GCA_964397515.1	uncultured Nitrosopumilales archaeon	171534	binchicken_co201_136		2025-01-06	SAMEA117322646			marine metagenome	not applicable		not provided						haploid
GCA_964397615.1	uncultured Methanosarcinales archaeon	183757	binchicken_co256_60		2025-01-05	SAMEA117365749			hydrothermal vent metagenome	Mexico		not provided						haploid
GCA_964397785.1	uncultured Candidatus Bathyarchaeia archaeon	3037984	binchicken_co10_46		2025-01-06	SAMEA117382628			sediment metagenome	Indonesia		not provided						haploid
GCA_964398115.1	uncultured Methanosarcinales archaeon	183757	SRP185896_co1_144		2025-01-06	SAMEA117290266			sediment metagenome	USA		not provided						haploid
GCA_964398235.1	uncultured Candidatus Bathyarchaeia archaeon	3037984	binchicken_co184_344		2025-01-07	SAMEA117391586			hydrothermal vent metagenome	Mexico		not provided						haploid
GCA_964398575.1	uncultured Methanosarcinales archaeon	183757	SRP257756_co1_20		2025-01-06	SAMEA117125454			subsurface metagenome	Costa Rica		2017-02-15						haploid
GCA_964398605.1	uncultured Nitrososphaerota archaeon	651141	binchicken_co409_141		2025-01-06	SAMEA117371400			hydrothermal vent metagenome	Mexico		not provided						haploid
GCA_964398955.1	uncultured Thermococci archaeon	376540	ERP127260_co1_100		2025-01-07	SAMEA117373975			sediment metagenome	Spain		not provided				true	contaminated	haploid
GCA_964399035.1	uncultured Desulfurococcaceae archaeon	310065	binchicken_co219_317		2025-01-08	SAMEA117385904			hydrothermal vent metagenome	Pacific Ocean		not provided						haploid
GCA_964399235.1	uncultured Candidatus Bathyarchaeia archaeon	3037984	binchicken_co103_338		2025-01-07	SAMEA117322923			sediment metagenome	not provided		not provided						haploid
GCA_964399255.1	uncultured Methanosarcinales archaeon	183757	SRP319275_co4_263		2025-01-07	SAMEA117297580			sediment metagenome	China		2018-07-28						haploid
GCA_964399275.1	uncultured Haladaptatus sp.	1109625	SRP304980_co2_286		2025-01-12	SAMEA117296613			soil metagenome	not provided		2020-04-10						haploid
GCA_964399385.1	uncultured Candidatus Bathyarchaeia archaeon	3037984	SRP141559_co2_23		2025-01-06	SAMEA117288957			hydrothermal vent metagenome	Mexico		2016-12-22						haploid
GCA_964399485.1	uncultured Candidatus Bathyarchaeia archaeon	3037984	SRP323688_co1_271		2025-01-08	SAMEA117297749			sediment metagenome	Australia		2018-11-20						haploid
GCA_964399645.1	uncultured Methanoregulaceae archaeon	1392423	SRP272421_co4_209		2025-01-08	SAMEA117296159			freshwater metagenome	USA		not provided						haploid
GCA_964399685.1	uncultured Methanobacterium sp.	176306	binchicken_co190_441		2025-01-08	SAMEA117364313			sludge metagenome	China		not provided						haploid
GCA_964399725.1	uncultured Thermococci archaeon	376540	binchicken_co256_372		2025-01-06	SAMEA117374179			hydrothermal vent metagenome	Mexico		not provided						haploid
GCA_964399765.1	uncultured Nitrososphaeria archaeon	2995109	SRP338002_co1_142		2025-01-05	SAMEA117391546			rock metagenome	Mexico		2017-11-02						haploid
GCA_964399835.1	uncultured Methanobacteriaceae archaeon	176233	SRP329715_co1_343		2025-01-10	SAMEA117297887			metagenome	China		2019-07-14						haploid
GCA_964400225.1	uncultured Methanosarcinales archaeon	183757	binchicken_co164_58		2025-01-05	SAMEA117363531			hydrothermal vent metagenome	not applicable		not provided						haploid
GCA_964400255.1	uncultured Halobacteria archaeon	260469	binchicken_co395_157		2025-01-08	SAMEA117370143			sediment metagenome	Mexico		2016-09-15						haploid
