Organism Name	Literature Reference	TaxID	Domain	Phylum	Class	Order	Family	Genus	Species
Thermoactinospora	https://doi.org/10.1007/s00248-016-0756-2	1424614	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Thermoactinospora	NULL
Thermoanaerobacter	https://doi.org/10.1111/febs.16801	1754	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	NULL
Thermoanaerobacterium	https://doi.org/10.1007/s00253-021-11450-4	28895	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacterium	NULL
Thermobifida	https://doi.org/10.1007/s00775-023-02019-9	83677	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Nocardiopsidaceae	Thermobifida	NULL
Thermocrinis	https://doi.org/10.3389/fmicb.2023.1172798	75905	Bacteria	Aquificota	Aquificia	Aquificales	Aquificaceae	Thermocrinis	NULL
Meiothermus	https://doi.org/10.3389/fmicb.2023.1172798	65551	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Meiothermus	NULL
Thermocrinis	https://doi.org/10.3389/fmicb.2023.1172798	75905	Bacteria	Aquificota	Aquificia	Aquificales	Aquificaceae	Thermocrinis	NULL
Thermosulfurimonas	https://doi.org/10.3389/fmicb.2016.00950	1522431	Bacteria	Thermodesulfobacteriota	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Thermosulfurimonas	NULL
Dissulfuribacter	https://doi.org/10.3389/fmicb.2016.00950	1433998	Bacteria	Thermodesulfobacteriota	Dissulfuribacteria	Dissulfuribacterales	Dissulfuribacteraceae	Dissulfuribacter	NULL
Dissulfurimicrobium	https://doi.org/10.3389/fmicb.2016.00950	1769732	Bacteria	NULL	Deltaproteobacteria	NULL	NULL	Dissulfurimicrobium	NULL
Thermodesulfatator	https://doi.org/10.1261/rna.079459.122	241192	Bacteria	Thermodesulfobacteriota	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfatatoraceae	Thermodesulfatator	NULL
Thermodesulfobacterium	https://doi.org/10.1002/1873-3468.70124	1740	Bacteria	Thermodesulfobacteriota	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Thermodesulfobacterium	NULL
