Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Isolate	Organism Infraspecific Names Strain	Assembly Release Date	Assembly BioSample Accession	Assembly BioSample Isolate	Assembly BioSample Strain	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Latitude and Longitude	Assembly BioSample Collection date	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Ecotype	Assembly Atypical Is Atypical	Assembly Atypical Warnings	Assembly Type
GCA_003661715.1	Thermoprotei archaeon	2250277	B21_G1		2018-10-15	SAMN09214784	B21_G1		deep-sea hydrothermal vent sediments from dive 4569_9 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003661745.1	Thermoprotei archaeon	2250277	B83_G16		2018-10-15	SAMN09214930	B83_G16		deep-sea hydrothermal vent sediments from dive 4569_2 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003661765.1	Thermoprotei archaeon	2250277	B69_G9		2018-10-15	SAMN09215212	B69_G9		deep-sea hydrothermal vent sediments from dive 4571_4 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003661775.1	Thermoprotei archaeon	2250277	B82_G16		2018-10-15	SAMN09214929	B82_G16		deep-sea hydrothermal vent sediments from dive 4569_2 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003661805.1	Thermoprotei archaeon	2250277	B61_G16		2018-10-15	SAMN09214928	B61_G16		deep-sea hydrothermal vent sediments from dive 4569_2 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003661825.1	Thermoprotei archaeon	2250277	B50_G16		2018-10-15	SAMN09214927	B50_G16		deep-sea hydrothermal vent sediments from dive 4569_2 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003661845.1	Thermoprotei archaeon	2250277	B49_G17		2018-10-15	SAMN09214997	B49_G17		deep-sea hydrothermal vent sediments from dive 4571_4 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003661865.1	Thermoprotei archaeon	2250277	B45_G16		2018-10-15	SAMN09214926	B45_G16		deep-sea hydrothermal vent sediments from dive 4569_2 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003661885.1	Thermoprotei archaeon	2250277	B41_G17		2018-10-15	SAMN09214996	B41_G17		deep-sea hydrothermal vent sediments from dive 4571_4 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003661905.1	Thermoprotei archaeon	2250277	B12_G17		2018-10-15	SAMN09214995	B12_G17		deep-sea hydrothermal vent sediments from dive 4571_4 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003661915.1	Thermoprotei archaeon	2250277	B105_G9		2018-10-15	SAMN09215211	B105_G9		deep-sea hydrothermal vent sediments from dive 4571_4 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_011039795.1	Thermoprotei archaeon	2250277	HyVt-134		2020-02-28	SAMN09638300	HyVt-134		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011041685.1	Thermoprotei archaeon	2250277	HyVt-212		2020-02-29	SAMN09638387	HyVt-212		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011042315.1	Thermoprotei archaeon	2250277	HyVt-136		2020-02-29	SAMN09638302	HyVt-136		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011042605.1	Thermoprotei archaeon	2250277	HyVt-109		2020-02-29	SAMN09638272	HyVt-109		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-11-30						haploid
GCA_011043415.1	Thermoprotei archaeon	2250277	HyVt-129		2020-02-29	SAMN09638294	HyVt-129		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011055275.1	Thermoprotei archaeon	2250277	SpSt-1254		2020-03-02	SAMN09639178	SpSt-1254		hot spring	Russia: Uzon Caldera, Kamchatka, Arkashin hot spring	54.300 N 160.02 E	2004-08				true	contaminated	haploid
GCA_002254895.1	Thermoprotei archaeon ex4572_64	2012533	ex4572_64		2017-08-16	SAMN06647986	ex4572_64		deep-sea hydrothermal vent sediments from dive 4572	USA: Guaymas Basin, Gulf of California	27.0423 N 111.2456 W	2009-12						haploid
GCA_002899815.1	Thermoproteota archaeon	2056631	ZAV-18		2018-01-25	SAMN08107327	ZAV-18	not applicable	hot spring	Russia: Uzon Caldera, Kamchatka, Zavarzin hot spring	54.295 N 160.052 E	2004-08	not applicable					haploid
GCA_003649085.1	Thermoproteota archaeon	2056631	B66_G16		2018-10-15	SAMN09214983	B66_G16		deep-sea hydrothermal vent sediments from dive 4569_2 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003649095.1	Thermoproteota archaeon	2056631	B34_G17		2018-10-15	SAMN09215029	B34_G17		deep-sea hydrothermal vent sediments from dive 4571_4 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003649105.1	Thermoproteota archaeon	2056631	B30_G17		2018-10-15	SAMN09215028	B30_G17		deep-sea hydrothermal vent sediments from dive 4571_4 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003649145.1	Thermoproteota archaeon	2056631	B29_G17		2018-10-15	SAMN09215027	B29_G17		deep-sea hydrothermal vent sediments from dive 4571_4 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003649155.1	Thermoproteota archaeon	2056631	B20_G2		2018-10-15	SAMN09215088	B20_G2		deep-sea hydrothermal vent sediments from dive 4569_9 depth 9-12 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003649185.1	Thermoproteota archaeon	2056631	B10_G16		2018-10-15	SAMN09214981	B10_G16		deep-sea hydrothermal vent sediments from dive 4569_2 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30				true	unverified source organism	haploid
GCA_003650625.1	Thermoproteota archaeon	2056631	B59_G16		2018-10-15	SAMN09214982	B59_G16		deep-sea hydrothermal vent sediments from dive 4569_2 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30				true	contaminated	haploid
GCA_003661225.1	Thermoproteota archaeon	2056631	B85_G9		2018-10-15	SAMN09215244	B85_G9		deep-sea hydrothermal vent sediments from dive 4571_4 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003661245.1	Thermoproteota archaeon	2056631	B81_G16		2018-10-15	SAMN09214951	B81_G16		deep-sea hydrothermal vent sediments from dive 4569_2 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003661265.1	Thermoproteota archaeon	2056631	B8_G17		2018-10-15	SAMN09215018	B8_G17		deep-sea hydrothermal vent sediments from dive 4571_4 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003661285.1	Thermoproteota archaeon	2056631	B68_G1		2018-10-15	SAMN09214809	B68_G1		deep-sea hydrothermal vent sediments from dive 4569_9 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003661305.1	Thermoproteota archaeon	2056631	B51_G1		2018-10-15	SAMN09214808	B51_G1		deep-sea hydrothermal vent sediments from dive 4569_9 depth 0-3 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003661315.1	Thermoproteota archaeon	2056631	B41_G2		2018-10-15	SAMN09215071	B41_G2		deep-sea hydrothermal vent sediments from dive 4569_9 depth 9-12 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003661345.1	Thermoproteota archaeon	2056631	B35_G17		2018-10-15	SAMN09215017	B35_G17		deep-sea hydrothermal vent sediments from dive 4571_4 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_003661365.1	Thermoproteota archaeon	2056631	B15_G15		2018-10-15	SAMN09214886	B15_G15		deep-sea hydrothermal vent sediments from dive 4569_2 depth 21-24 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-11-30						haploid
GCA_003661385.1	Thermoproteota archaeon	2056631	B14_G2		2018-10-15	SAMN09215070	B14_G2		deep-sea hydrothermal vent sediments from dive 4569_9 depth 9-12 cm	Mexico: Guaymas Basin, Gulf of California	27.015 N 111.379 W	2009-11-30						haploid
GCA_003661445.1	Thermoproteota archaeon	2056631	B10_G17		2018-10-15	SAMN09215016	B10_G17		deep-sea hydrothermal vent sediments from dive 4571_4 depth 12-15 cm	Mexico: Guaymas Basin, Gulf of California	29.52416667 N 113.57000000 W	2009-12-02						haploid
GCA_004212145.1	Thermoproteota archaeon	2056631	Verst-YHS		2019-02-19	SAMN10390735	Verst-YHS		Yellowstone sulfidic hot spring sediment	USA: Wyoming, Yellowstone, Washburn Hot Spring	44.76 N 110.44 W	2012-10-04						haploid
GCA_004347955.1	Thermoproteota archaeon	2056631	WYZ-LMO10		2019-03-12	SAMN09405038	WYZ-LMO10	missing	hot springs sediment	USA:Yellowstone National Park, Wyoming, USA	44.376 N 110.69 W	missing						haploid
GCA_004347975.1	Thermoproteota archaeon	2056631	WYZ-LMO9		2019-03-12	SAMN09405037	WYZ-LMO9	missing	hot springs sediment	USA:Yellowstone National Park, Wyoming, USA	44.376 N 110.69 W	missing						haploid
GCA_004348015.1	Thermoproteota archaeon	2056631	WYZ-LMO11		2019-03-12	SAMN09405039	WYZ-LMO11	missing	hot springs sediment	USA:Yellowstone National Park, Wyoming, USA	44.376 N 110.69 W	missing						haploid
GCA_011039395.1	Thermoproteota archaeon	2056631	HyVt-231		2020-02-28	SAMN09638408	HyVt-231		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011042085.1	Thermoproteota archaeon	2056631	HyVt-161		2020-02-29	SAMN09638330	HyVt-161		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011042295.1	Thermoproteota archaeon	2056631	HyVt-138		2020-02-29	SAMN09638304	HyVt-138		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011042755.1	Thermoproteota archaeon	2056631	HyVt-239		2020-02-29	SAMN09638416	HyVt-239		marine hydrothermal sediment	Mexico: Guaymas Basin, Gulf of California	27.0078 N 111.4071 W	2009-12-02						haploid
GCA_011605765.1	Thermoproteota archaeon	2056631	SJ3.Bin82.1		2020-03-22	SAMN13964311	SJ3.Bin82.1		sediments from hot spring shelf	USA: Yellowstone National Park; Smokejumper3 Hot Spring	44.41595 N 110.9558 W	2014-07						haploid
GCA_011605805.1	Thermoproteota archaeon	2056631	SJ3.Bin27		2020-03-22	SAMN13964310	SJ3.Bin27		sediments from hot spring shelf	USA: Yellowstone National Park; Smokejumper3 Hot Spring	44.41595 N 110.9558 W	2014-07						haploid
GCA_011605825.1	Thermoproteota archaeon	2056631	SJ3.Bin40		2020-03-22	SAMN13964309	SJ3.Bin40		sediments from hot spring shelf	USA: Yellowstone National Park; Smokejumper3 Hot Spring	44.41595 N 110.9558 W	2014-07				true	contaminated	haploid
GCA_011605835.1	Thermoproteota archaeon	2056631	SJ3.Bin21		2020-03-22	SAMN13964308	SJ3.Bin21		sediments from hot spring shelf	USA: Yellowstone National Park; Smokejumper3 Hot Spring	44.41595 N 110.9558 W	2014-07						haploid
GCA_012511995.1	Thermoproteota archaeon	2056631	AS10tlH2TH_146		2020-04-17	SAMN13894657	AS10tlH2TH_146		anaerobic digestion of organic wastes under variable temperature conditions and feedstocks	not applicable	not applicable	not applicable				true	contaminated	haploid
GCA_012513715.1	Thermoproteota archaeon	2056631	AS06rmzACSIP_615		2020-04-17	SAMN13894506	AS06rmzACSIP_615		anaerobic digestion of organic wastes under variable temperature conditions and feedstocks	not applicable	not applicable	not applicable						haploid
GCA_012513985.1	Thermoproteota archaeon	2056631	AS06rmzACSIP_525		2020-04-17	SAMN13894496	AS06rmzACSIP_525		anaerobic digestion of organic wastes under variable temperature conditions and feedstocks	not applicable	not applicable	not applicable				true	contaminated	haploid
GCA_000960885.2	Thermoproteus sp. AZ2	1609232			2024-09-25	SAMN03323733			muddy water from acid hot spring	Mexico: Los Azufres geothermal field, Michoacan	19.47 N 100.40 W	2010-05						haploid
GCA_001516665.1	Thermoproteus sp. CIS_19	1714257			2016-01-15	SAMN04045694			terrestrial hot spring (Cistern Spring, YNP)	USA: Yellowstone National Park	44.723081 N 110.70402472 W	2007						haploid
GCA_002077075.2	Thermoproteus sp. CP80	1650659		CP80	2018-01-03	SAMN03580358		CP80	hot spring	USA: Yellowstone National Park, WY		2012-05						haploid
GCA_001516655.1	Thermoproteus sp. JCHS_4	1714258			2016-01-15	SAMN04045695			terrestrial hot spring (Joseph's Coat Hot Spring, YNP)	USA: Yellowstone National Park	44.739162 N 110.324494 W	2007						haploid
GCA_000193375.1	Thermoproteus uzoniensis 768-20	999630		768-20	2011-03-28	SAMN02603093		768-20	solfataric thermal field close to Moutnovsky volcano	Russia: Kamchatka								haploid
GCA_000495695.1	uncultured Acidilobus sp. CIS	1410574			2013-11-05	SAMN02364258			Cistern Spring (CIS_19); temperature 78C; pH 4.4	USA: Yellowstone National Park	44.7231 N 110.7040 W	2007						haploid
GCA_000495735.1	uncultured Acidilobus sp. JCHS	1410576			2013-11-05	SAMN02364256			Joseph's Coat Hot Spring (JCHS_4); temperature 80C; pH 6.1	USA: Yellowstone National Park	44.7392 N 110.3245 W	2007						haploid
GCA_000495675.1	uncultured Acidilobus sp. MG	1410573			2013-11-05	SAMN02364255			Monarch Geyser (MG_3); temperature 80C; pH 4.0	USA: Yellowstone National Park	44.7243 N 110.7056 W	2007						haploid
GCA_000495715.1	uncultured Acidilobus sp. OSP8	1410575			2013-11-05	SAMN02364257			100 Spring Plain (OSP_8); temperature 72C; pH 3.3	USA: Yellowstone National Park	44.7330 N 110.7090 W	2007						haploid
GCA_004195645.1	uncultured DHVE6 group euryarchaeote	2077317	Guaymas_35		2019-02-15	SAMN08159304	Guaymas_35	missing	hydrothermal plume	Mexico: Gulf of California, Guaymas Basin	27.31 N 111.26 W	2004-07-11						haploid
GCA_000148385.1	Vulcanisaeta distributa DSM 14429	572478		DSM 14429	2010-09-22	SAMN00017002		DSM 14429	hot spring	Japan	Missing	Sep-1993						haploid
GCA_000190315.1	Vulcanisaeta moutnovskia 768-28	985053		768-28	2011-02-22	SAMN02603092		768-28	solfataric thermal field close to Moutnovsky volcano, Kamchatka	Russia								haploid
GCA_000960865.2	Vulcanisaeta sp. AZ3	1609231			2024-09-25	SAMN03323735			muddy water from acid hot spring	Mexico: Los Azufres geothermal field, Michoacan	19.47 N 100.40 W	2010-05						haploid
GCA_001516745.1	Vulcanisaeta sp. CIS_19	1714251			2016-01-15	SAMN04045673			terrestrial hot spring (Cistern Spring, YNP)	USA: Yellowstone National Park	44.723081 N 110.70402472 W	2007						haploid
GCA_002078205.2	Vulcanisaeta sp. EB80	1650660		EB80	2018-01-03	SAMN03580359		EB80	hot spring	USA: Yellowstone National Park, WY		2012-05						haploid
GCA_001516705.1	Vulcanisaeta sp. JCHS_4	1714253			2016-01-15	SAMN04045679			terrestrial hot spring (Joseph's Coat Hot Spring, YNP)	USA: Yellowstone National Park	44.739162 N 110.324494 W	2007						haploid
GCA_001516765.1	Vulcanisaeta sp. MG_3	1714250			2016-01-15	SAMN04045672			terrestrial hot spring (Monarch Geyser, YNP)	USA: Yellowstone National Park	44.7242925 N 110.705613 W	2007						haploid
GCA_001515905.1	Vulcanisaeta sp. OSP_8	1714252			2016-01-15	SAMN04045678	OSP_8		terrestrial hot spring (One Hundred Spring Plain, YNP)	USA: 'OSP Spring', Yellowstone National Park	44.73304 N 110.709 W	2007						haploid
GCA_003086515.1	Vulcanisaeta sp. SCGC AB-777_J10	1987493	SCGC AB-777_J10		2018-05-02	SAMN06968107	SCGC AB-777_J10		single cell amplified by MDA; Acidic hot spring	USA: Yellowstone National Park Hot spring NL01	44.7519 N 110.7288 W	2011-10-11						haploid
GCA_003056265.1	Zestosphaera tikiterensis	1973259	NZ3		2018-04-18	SAMN06648824	NZ3	missing	geothermal spring	New Zealand: Tikitere	38.0654 S 176.359 E	2015-04						haploid
GCA_013133895.1	Acidianus sp. RZ1	1540082		DSM 29099	2020-05-20	SAMN14829352		DSM 29099	hot spring	Argentina		2011						haploid
GCA_015520565.1	Aciduliprofundum sp.	2060325	S145_39		2020-11-16	SAMN12837333	S145_39		deep-sea hydrothermal deposit	Pacific Ocean	34.8620939 S 179.0573951 E	2018-03						haploid
GCA_015523135.1	Aciduliprofundum sp.	2060325	S013_35		2020-11-16	SAMN12837205	S013_35		deep-sea hydrothermal deposit	Pacific Ocean	34.86107892 S 179.0576362 E	2018-03						haploid
GCA_015521685.1	Aeropyrum sp.	1872399	S141_97_esom		2020-11-16	SAMN12837278	S141_97_esom		deep-sea hydrothermal deposit	Pacific Ocean	34.86111866 S 179.0576651 E	2018-03						haploid
GCA_015523455.1	Aeropyrum sp.	1872399	S012_92_esom		2020-11-16	SAMN12837189	S012_92_esom		deep-sea hydrothermal deposit	Pacific Ocean	34.85791961 S 179.0519333 E	2018-03						haploid
GCA_015523465.1	Aeropyrum sp.	1872399	S012_63_esom		2020-11-16	SAMN12837186	S012_63_esom		deep-sea hydrothermal deposit	Pacific Ocean	34.857920 S 179.051933 E	2018-03						haploid
GCA_012962645.1	Aigarchaeota archaeon	2528703	UWMA-0183		2020-05-04	SAMN10967524	UWMA-0183		Mid-Cayman Rise Vent Fluids	Atlantic Ocean:Mid Cayman Rise	18.375 N 81.7976 W	2017-04-15						haploid
GCA_015520375.1	Aigarchaeota archaeon	2528703	S146_127		2020-11-16	SAMN12837340	S146_127		deep-sea hydrothermal deposit	Pacific Ocean	34.86208959 S 179.0573881 E	2018-03						haploid
GCA_015520465.1	Aigarchaeota archaeon	2528703	S146_125		2020-11-16	SAMN12837338	S146_125		deep-sea hydrothermal deposit	Pacific Ocean	34.86208959 S 179.0573881 E	2018-03						haploid
GCA_019429385.1	ANME-2 cluster archaeon	2056317	KA02		2021-07-31	SAMN20345953	KA02		sediment and water from a salsa lake of a terrestrial mud volcano	Russia: Karabetova Gora near the city of Taman	45.204444 N 36.785000 E	2017-07-20						haploid
GCA_012962495.1	Archaeoglobaceae archaeon	2511821	UWMA-0193		2020-05-04	SAMN10967534	UWMA-0193		Mid-Cayman Rise Vent Fluids	Atlantic Ocean:Mid Cayman Rise	18.375 N 81.7976 W	2017-04-15						haploid
GCA_015520485.1	Archaeoglobaceae archaeon	2511821	S145_38		2020-11-16	SAMN12837334	S145_38		deep-sea hydrothermal deposit	Pacific Ocean	34.8620939 S 179.0573951 E	2018-03						haploid
GCA_015520645.1	Archaeoglobaceae archaeon	2511821	S144_73		2020-11-16	SAMN12837329	S144_73		deep-sea hydrothermal deposit	Pacific Ocean	34.8610792 S 179.057703 E	2018-03						haploid
GCA_015520665.1	Archaeoglobaceae archaeon	2511821	S144_101		2020-11-16	SAMN12837328	S144_101		deep-sea hydrothermal deposit	Pacific Ocean	34.8610792 S 179.057703 E	2018-03						haploid
GCA_015520685.1	Archaeoglobaceae archaeon	2511821	S144_76_esom		2020-11-16	SAMN12837327	S144_76_esom		deep-sea hydrothermal deposit	Pacific Ocean	34.8610792 S 179.057703 E	2018-03						haploid
GCA_015521005.1	Archaeoglobaceae archaeon	2511821	S143_78		2020-11-16	SAMN12837313	S143_78		deep-sea hydrothermal deposit	Pacific Ocean	34.86107624 S 179.0576384 E	2018-03						haploid
GCA_015521425.1	Archaeoglobaceae archaeon	2511821	S142_14		2020-11-16	SAMN12837289	S142_14		deep-sea hydrothermal deposit	Pacific Ocean	34.86207984 S 179.0572892 E	2018-03						haploid
GCA_015521855.1	Archaeoglobaceae archaeon	2511821	S140_98_esom		2020-11-16	SAMN12837267	S140_98_esom		deep-sea hydrothermal deposit	Pacific Ocean	34.86150855 S 179.0573001 E	2018-03						haploid
GCA_015522425.1	Archaeoglobaceae archaeon	2511821	S017_6_esom		2020-11-16	SAMN12837241	S017_6_esom		deep-sea hydrothermal deposit	Pacific Ocean	34.861904 S 179.057875 E	2018-03						haploid
GCA_015523045.1	Archaeoglobaceae archaeon	2511821	S013_27		2020-11-16	SAMN12837206	S013_27		deep-sea hydrothermal deposit	Pacific Ocean	34.86107892 S 179.0576362 E	2018-03						haploid
GCA_015523335.1	Archaeoglobaceae archaeon	2511821	S012_59_esom		2020-11-16	SAMN12837193	S012_59_esom		deep-sea hydrothermal deposit	Pacific Ocean	34.85791961 S 179.0519333 E	2018-03						haploid
GCA_015523685.1	Archaeoglobaceae archaeon	2511821	S009_4_esom		2020-11-16	SAMN12837177	S009_4_esom		deep-sea hydrothermal deposit	Pacific Ocean	34.862587 S 179.058108 E	2018-03						haploid
GCA_021163065.1	Archaeoglobaceae archaeon	2511821	AUK153		2021-12-10	SAMN18353649	AUK153		marine hydrothermal sediment	Pacific Ocean: Mexico, Pescadero Basin	23.957043 N 108.862273 W	2015-04-18						haploid
GCA_013151125.1	Archaeoglobi archaeon	2250530	M_MetaBat.67		2020-05-22	SAMN12405721	M_MetaBat.67		deepsea hydrothermal sulfide chimney	Pacific Ocean: East Pacific Rise	9.7712 N 104.2789 W	2014-01-01						haploid
GCA_015662535.1	Archaeoglobus profundus	84156	SZUA-1439		2020-11-23	SAMN09926490	SZUA-1439		Mid-Cayman Rise Vent Fluids	Atlantic Ocean:Mid Cayman Rise	18.3752 N 81.7971 W	2017-04-15				true	unverified source organism	haploid
GCA_015662635.1	Archaeoglobus profundus	84156	SZUA-1432		2020-11-23	SAMN09926486	SZUA-1432		Mid-Cayman Rise Vent Fluids	Atlantic Ocean:Mid Cayman Rise	18.5466 N 81.7177 W	2017-04-15				true	unverified source organism	haploid
GCA_015662965.1	Archaeoglobus profundus	84156	SZUA-1399		2020-11-23	SAMN09926467	SZUA-1399		Mid-Cayman Rise Vent Fluids	Atlantic Ocean:Mid Cayman Rise	18.5466 N 81.7182 W	2017-04-15				true	unverified source organism	haploid
GCA_017656475.1	Archaeoglobus sp.	1872626	GB_MAG2_100		2021-04-01	SAMN15049707	GB_MAG2_100		deep sea sediment sample 4871-20 in thermophilic enrichment culture	Mexico: Guaymas Basin	27.04618 N 111.38483 W	2016-12-23						haploid
GCA_017656505.1	Archaeoglobus sp.	1872626	GB_MAG3_049		2021-04-01	SAMN15049708	GB_MAG3_049		deep sea sediment sample 4871-20 in thermophilic enrichment culture	Mexico: Guaymas Basin	27.04618 N 111.38483 W	2016-12-23						haploid
GCA_015522605.1	archaeon	1906665	S016_67_esom		2020-11-16	SAMN12837231	S016_67_esom		deep-sea hydrothermal deposit	Pacific Ocean	34.878866 S 179.071394 E	2018-03						haploid
GCA_021786015.1	archaeon	1906665	DBS2-5.bin16		2022-02-01	SAMN20843031	DBS2-5.bin16		acid mine drainage sediment	China: Dabaoshan Pyrite-Copper Mine, Guangdong Province	24.552367 N 113.745576 E	2017-10-01						haploid
GCA_021786335.1	archaeon	1906665	DBS2-4.bin67		2022-02-01	SAMN20843016	DBS2-4.bin67		acid mine drainage sediment	China: Dabaoshan Pyrite-Copper Mine, Guangdong Province	24.551902 N 113.745097 E	2017-10-01						haploid
GCA_021786575.1	archaeon	1906665	DBS2-4.bin21		2022-02-01	SAMN20843002	DBS2-4.bin21		acid mine drainage sediment	China: Dabaoshan Pyrite-Copper Mine, Guangdong Province	24.551902 N 113.745097 E	2017-10-01						haploid
GCA_021788415.1	archaeon	1906665	DBS2-1.bin47		2022-02-01	SAMN20842943	DBS2-1.bin47		acid mine drainage sediment	China: Dabaoshan Pyrite-Copper Mine, Guangdong Province	24.552045 N 113.745497 E	2017-10-01						haploid
GCA_021791175.1	archaeon	1906665	FK3.bin17		2022-02-01	SAMN20843266	FK3.bin17		acid mine drainage sediment	China: Fankou Lead-Zinc Mine, Guangdong Province	25.049111 N 113.664022 E	2017-10-01						haploid
GCA_021791695.1	archaeon	1906665	FK2.bin78		2022-02-01	SAMN20843240	FK2.bin78		acid mine drainage sediment	China: Fankou Lead-Zinc Mine, Guangdong Province	25.049023 N 113.664012 E	2017-10-01						haploid
GCA_021791835.1	archaeon	1906665	FK2.bin4		2022-02-01	SAMN20843234	FK2.bin4		acid mine drainage sediment	China: Fankou Lead-Zinc Mine, Guangdong Province	25.049023 N 113.664012 E	2017-10-01						haploid
GCA_021792315.1	archaeon	1906665	FK1.bin41		2022-02-01	SAMN20843209	FK1.bin41		acid mine drainage sediment	China: Fankou Lead-Zinc Mine, Guangdong Province	25.049027 N 113.663347 E	2017-10-01						haploid
GCA_021792955.1	archaeon	1906665	DX2.bin21		2022-02-01	SAMN20843175	DX2.bin21		acid mine drainage sediment	China: Dexing Copper Mine, Jiangxi Province	29.002054 N 117.727611 E	2017-10-01						haploid
GCA_021796515.1	archaeon	1906665	WH2.bin77		2022-02-01	SAMN20844074	WH2.bin77		acid mine drainage sediment	China: Wuhu Polymetallic Mine, Anhui Province	31.082771 N 118.256504 E	2017-10-01						haploid
GCA_021798095.1	archaeon	1906665	TL1-5.bin24		2022-02-01	SAMN20843979	TL1-5.bin24		acid mine drainage sediment	China: Tongling Copper Mine, Anhui Province	30.940541 N 117.989972 E	2017-10-01						haploid
GCA_021800035.1	archaeon	1906665	FK5.bin12		2022-02-01	SAMN20843327	FK5.bin12		acid mine drainage sediment	China: Fankou Lead-Zinc Mine, Guangdong Province	25.049789 N 113.663394 E	2017-10-01						haploid
GCA_021800855.1	archaeon	1906665	FK4.bin31		2022-02-01	SAMN20843307	FK4.bin31		acid mine drainage sediment	China: Fankou Lead-Zinc Mine, Guangdong Province	25.049037 N 113.663577 E	2017-10-01						haploid
GCA_021806865.1	archaeon	1906665	YF1.bin85		2022-02-01	SAMN20844503	YF1.bin85		acid mine drainage sediment	China: Yunfu Pyrite Mine, Guangdong Province	22.964803 N 112.014426 E	2017-10-01						haploid
GCA_021807225.1	archaeon	1906665	YF1.bin63		2022-02-01	SAMN20844491	YF1.bin63		acid mine drainage sediment	China: Yunfu Pyrite Mine, Guangdong Province	22.964803 N 112.014426 E	2017-10-01						haploid
GCA_021810775.1	archaeon	1906665	LSA2.bin2		2022-02-01	SAMN20843554	LSA2.bin2		acid mine drainage sediment	China: Longshenao Polymetallic Mine, Guangxi Province	24.833985 N 107.568561 E	2017-10-01						haploid
